Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
3P%,2001 - 2002,Kevin Ollie,0.388102,0.5,0.8237885,0.2684486,0.5584192,0.024691358,0.7654321
3P%,2001 - 2002,Lee Nailon,0.4829843,0.5,0.74666667,0.44531658,0.5262009,0.21518987,0.7468355
3P%,2002 - 2003,Arvydas Sabonis,0.4764543,0.5,0.7865854,0.3937138,0.5725047,0.6282051,0.78205127
3P%,2002 - 2003,Juwan Howard,0.44964314,0.5,0.8034188,0.51960427,0.5266089,0.35064936,1.0
3P%,2002 - 2003,Yao Ming,0.49813664,0.5,0.8113208,0.46328157,0.5967742,1.7926829,0.37804878
3P%,2003 - 2004,Darvin Ham,0.49333334,0.5,0.6,0.19793814,0.52678573,0.14814815,0.24074075
3P%,2003 - 2004,Kwame Brown,0.48896435,0.5,0.6826347,0.35985696,0.5589189,0.7027027,0.8918919
3P%,2004 - 2005,Kurt Thomas,0.47058824,0.5,0.78571427,0.32084063,0.4974722,0.9875,0.875
3P%,2004 - 2005,Ryan Bowen,0.4234234,0.5,0.6666667,0.18438539,0.46376812,0.07575758,0.34848484
3P%,2005 - 2006,DeSagana Diop,0.48701298,0.5,0.5416667,0.12584448,0.50438595,1.8024691,0.54320985
3P%,2006 - 2007,Dwight Howard,0.60252005,0.5,0.5855856,0.47726145,0.59506816,1.902439,0.85365856
3P%,2006 - 2007,Jacque Vaughn,0.4251497,0.5,0.75384617,0.25263157,0.517094,0.03125,0.375
3P%,2006 - 2007,Shelden Williams,0.45479453,0.5,0.7638889,0.29335976,0.54191035,0.4814815,0.6419753
3P%,2007 - 2008,Malik Allen,0.48012233,0.5,0.92,0.3084786,0.51129943,0.42465752,0.26027396
3P%,2008 - 2009,Dominic McGuire,0.43209878,0.5,0.7254902,0.1717898,0.5023256,0.93670887,0.7848101
3P%,2008 - 2009,Pau Gasol,0.56650716,0.5,0.78132117,0.5094522,0.6298789,1.0,0.6419753
3P%,2008 - 2009,Solomon Jones,0.6036036,0.5,0.7162162,0.278436,0.64705884,0.53968257,0.11111111
3P%,2009 - 2010,Roy Hibbert,0.4948849,0.5,0.75446427,0.46491057,0.55237156,1.6172839,0.37037036
3P%,2009 - 2010,Serge Ibaka,0.5432432,0.5,0.6304348,0.34834516,0.5603448,1.3287672,0.34246576
3P%,2010 - 2011,Al Horford,0.55700326,0.5,0.79787236,0.43569922,0.5974843,1.038961,0.76623374
3P%,2011 - 2012,Trevor Booker,0.53079176,0.5,0.60215056,0.3321706,0.54587156,0.86,0.96
3P%,2012 - 2013,Al Horford,0.54339623,0.5,0.6442308,0.46762198,0.55965465,1.054054,1.054054
3P%,2016 - 2017,Jonas Valanciunas,0.5569801,0.5,0.8110599,0.46429437,0.616721,0.7875,0.4625
3P%,2016 - 2017,Tarik Black,0.5102041,0.5,0.7522936,0.35108626,0.5753086,0.6567164,0.43283582
3P%,2017 - 2018,Jakob Poeltl,0.6588542,0.5,0.5940594,0.37216935,0.6447639,1.2195122,0.47560975
3P%,2018 - 2019,Willie Cauley-Stein,0.5560054,0.5,0.5511811,0.43611878,0.554664,0.6296296,1.1851852
3P%,2019 - 2020,JaVale McGee,0.6372549,0.5,0.64634144,0.39465535,0.6370558,1.382353,0.5294118
3P%,2006 - 2007,Jason Kapono,0.4937833,0.51428574,0.8918919,0.41301274,0.5336482,0.029850746,0.5671642
3P%,2018 - 2019,Domantas Sabonis,0.59,0.5294118,0.71477664,0.56731033,0.625,0.4054054,0.6486486
3P%,2016 - 2017,Pau Gasol,0.50165564,0.53846157,0.70652175,0.48687527,0.54820627,1.09375,0.375
3P%,2019 - 2020,Hassan Whiteside,0.6210826,0.5714286,0.68619245,0.51785094,0.6371308,2.925373,0.3880597
3P%,2019 - 2020,Dwight Howard,0.72924185,0.6,0.5140187,0.3959562,0.63508064,1.1449275,0.44927537
3P%,2008 - 2009,Dahntay Jones,0.45833334,0.64705884,0.7284768,0.3009048,0.5456349,0.24050634,0.62025315
3P%,2001 - 2002,Joe Smith,0.5111876,0.6666667,0.8300971,0.39906347,0.5949367,0.8194444,0.5416667
3P%,2002 - 2003,Kurt Thomas,0.48346305,0.6666667,0.75,0.4402174,0.52427983,1.1975309,1.0
